steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
307880,Savage Lands,game,14.99,2015-03-05,,4484.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/307880/header.jpg?t=1470773826
307900,Wildlife Park 2 - Marine World,game,3.99,2014-07-17,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307900/header.jpg?t=1478087625
307920,Wildlife Park 2 - Farm World,game,3.99,2014-07-17,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307920/header.jpg?t=1463134976
307930,Wildlife Park 2 - Dino World,game,3.99,2014-07-17,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307930/header.jpg?t=1478087429
307940,Radiation Island,game,2.99,2016-11-29,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307940/header.jpg?t=1481038636
307960,IL-2 Sturmovik: Battle of Stalingrad,game,49.99,2014-10-22,74.0,844.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307960/header.jpg?t=1479486334
307980,Cricket Captain 2014,game,9.99,2014-08-08,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307980/header.jpg?t=1447362343
307990,Wildlife Park 2 - Fantasy,game,0.99,2014-07-17,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/307990/header.jpg?t=1478087512
308000,Gold Rush! Classic,game,5.99,2014-07-25,,157.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/308000/header.jpg?t=1461910286
308040,Back to Bed,game,5.99,2014-08-06,57.0,395.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/308040/header.jpg?t=1465809470
308060,Black The Fall,game,,,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/308060/header.jpg?t=1480703692
